"title","link","image","director","country","year","description"
"L’amore","https://www.criterionchannel.com/l-amore","https://vhx.imgix.net/criterionchannelchartersu/assets/ace2980c-0e6e-41c6-9e1d-b05e9b07748f.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Roberto Rossellini","Italy,","1948","Directed by Roberto Rossellini • 1948 • Italy

Roberto Rosselini directs Anna Magnani in two short films about love and loneliness. In the first, a woman makes a last-ditch attempt to save her relationship over the phone. In the second, a peasant woman believes she is pregnant with the son of God."
"L'amour existe","https://www.criterionchannel.com/l-amour-existe","https://vhx.imgix.net/criterionchannelchartersu/assets/37912640-9465-4e0e-bb30-c8883dfda08d.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Maurice Pialat","France,","1960","Directed by Maurice Pialat • 1960 • France

This contemplative short film, directed by Maurice Pialat in 1960, depicts life in the banlieues, or suburbs, of Paris and the dead-end existence of the youth residing there."
"L’amour fou","https://www.criterionchannel.com/l-amour-fou","https://vhx.imgix.net/criterionchannelchartersu/assets/dea842d8-39ce-40a8-a008-cc033c14f83c.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jacques Rivette","France,","1969","Directed by Jacques Rivette • 1969 • France
Starring Bulle Ogier, Jean-Pierre Kalfon, André S. Labarthe

In many ways a breakthrough work for director Jacques Rivette (and a thematic precursor to his legendary OUT 1, released two years later), this epic portrait of a relationship in breakdown found the French New Wave’s most uncompromising auteur pushing the conventions of cinema to their limit to explore his trademark obsessions with the boundaries between performance and reality, stage and cinema, structure and improvisation, and the modern and the mythic. Amid rehearsals for a televised production of Racine’s “Andromaque,” an actor (Bulle Ogier) and theater director (Jean-Pierre Kalfon) see their marriage implode, a situation that grows increasingly volatile when he replaces her with his mistress."
"THE AMPUTEE: Version 1","https://www.criterionchannel.com/the-amputee-version-1","https://vhx.imgix.net/criterionchannelchartersu/assets/88a4d495-bccc-43bd-83cd-9de5dc4c3708.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","David Lynch","United States,","1974","Directed by David Lynch • 1974 • United States

A double amputee attempts to write a letter while her nurse gets in the way."
"THE AMPUTEE: Version 2","https://www.criterionchannel.com/the-amputee-version-2","https://vhx.imgix.net/criterionchannelchartersu/assets/d3119471-5d20-4b35-932f-10b2b8a39668.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","David Lynch","United States,","1974","Directed by David Lynch • 1974 • United States

A double amputee attempts to write a letter while her nurse gets in the way."
"A/Muse","https://www.criterionchannel.com/a-muse","https://vhx.imgix.net/criterionchannelchartersu/assets/96c37e5f-a7c0-48ec-b277-b09e15f40ba1.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Hal Hartley","United States,","2010","Directed by Hal Hartley • 2010 • United States
Starring Christina Flick

An ambitious young actor comes to Berlin to convince an American expat filmmaker she must be his next muse."
"Ana and the Wolves","https://www.criterionchannel.com/ana-and-the-wolves","https://vhx.imgix.net/criterionchannelchartersu/assets/1a65202e-eacc-47b0-bae6-3f01294b00ea.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Carlos Saura","Spain,","1973","Directed by Carlos Saura • 1973 • Spain
Starring Geraldine Chaplin, José María Prada, José Vivó

One of director Carlos Saura’s most potent allegories for the hypocrisy and repression that defined Francoist Spain follows Ana (Geraldine Chaplin), a young English woman who arrives at a remote Spanish estate in order to work as a governess for three girls. What she finds is a hothouse of dysfunction, perversion, and warped family relationships that lays bare the psychological trauma of life under an authoritarian regime."
"Anatomy of Hell","https://www.criterionchannel.com/anatomy-of-hell","https://vhx.imgix.net/criterionchannelchartersu/assets/bd4d73d1-b798-489d-915f-eeb9cc9b203d.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Catherine Breillat","France,","2004","Directed by Catherine Breillat • 2004 • France
Starring Amira Casar, Rocco Siffredi

After attempting suicide, a young woman (Amira Casar) makes a startling proposition to the man (Rocco Siffredi) who rescued her: she will pay him to watch her naked body over the course of four nights as long as he provides “impartial” commentary about what he sees. Thus ensues ANATOMY OF HELL, one of the most controversial films of Catherine Breillat’s career—a singularly daring meditation on the pleasures and horrors of the flesh. Buoyed by the two leads’ fearless performances, HELL is as much a philosophical treatise on the hidden traumas of sexuality as it is an increasingly unsettling battle of the sexes, with Breillat using a hushed chamber-play setup to show the spectator no quarter throughout the transgressive proceedings. The result is like nothing else, even within the director’s audacious oeuvre: her deepest expression of anguish over the unspeakable ecstasies and degradations of the body erotic."
"The Anderson Tapes","https://www.criterionchannel.com/the-anderson-tapes","https://vhx.imgix.net/criterionchannelchartersu/assets/ddd45c2b-4e5e-4443-b3f8-adbda24d5224.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Sidney Lumet","United States,","1971","Directed by Sidney Lumet • 1971 • United States
Starring Sean Connery, Dyan Cannon, Martin Balsam

A prescient vision of the rise of the surveillance state, this paranoid heist thriller stars Sean Connery as Duke Anderson, an ex-con just out of prison who hatches a daring scheme to rob every unit in the swanky Manhattan apartment complex where his girlfriend (Dyan Cannon) lives. Little does he know, invisible eyes and ears are monitoring his every move. Director Sidney Lumet keeps the tension mounting while a delightfully offbeat secondary cast—including Martin Balsam, comedian Alan King, and a young Christopher Walken—lends colorful support."
"And God Created Woman","https://www.criterionchannel.com/and-god-created-woman","https://vhx.imgix.net/criterionchannelchartersu/assets/faa5744a-09ad-4557-9cd2-3bc603a6fe9e.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Roger Vadim","France,","1956","Directed by Roger Vadim • 1956 • France
Starring Brigitte Bardot, Jean-Louis Trintignant, Curd Jürgens

The astounding success of Roger Vadim’s AND GOD CREATED WOMAN revolutionized the foreign film market and turned Brigitte Bardot into an international star. Bardot stars as Juliette, an 18-year-old orphan whose unbridled appetite for pleasure shakes up all of St. Tropez; her sweet but naïve husband Michel (Jean-Louis Trintignant) endures beatings, insults, and mambo in his attempts to tame her wild ways."
"And Life Goes On","https://www.criterionchannel.com/and-life-goes-on","https://vhx.imgix.net/criterionchannelchartersu/assets/d66bf26d-3826-4206-b318-d9a19ec7990b.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Abbas Kiarostami","Iran,","1992","Directed by Abbas Kiarostami • 1992 • Iran
Starring Farhad Kheradmand, Pouya Payvar, Hossein Rezai

In the aftermath of the 1990 earthquake in Iran that left fifty thousand dead, Abbas Kiarostami returned to Koker, where his camera surveys not only devastation but also the teeming life in its wake. Blending fiction and reality into a playful, poignant road movie, AND LIFE GOES ON follows a film director who, along with his son, makes the trek to the region in hopes of finding out if the young boys who acted in WHERE IS THE FRIEND’S HOUSE? are among the survivors, and discovers a resilient community pressing on in the face of tragedy. Finding beauty in the bleakest of circumstances, Kiarostami crafts a quietly majestic ode to the best of the human spirit."
"And Now Miguel","https://www.criterionchannel.com/and-now-miguel","https://vhx.imgix.net/criterionchannelchartersu/assets/9e2e227c-5d4f-4757-bb2b-3b4cfbe9cfc5.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Joseph Krumgold","United States,","1953","Directed by Joseph Krumgold • 1953 • United States
Starring Miguel Chavez, Pedro Chavez

AND NOW MIGUEL is known today as the beloved novel by Joseph Krumgold that won the Newberry Medal for excellence in American children’s literature in 1954. But few know that the story actually originated as a motion picture for the U.S. State Department directed by Krumgold. Miguel Chavez is the twelve-year-old son of a family of shepherds who dreams of joining the older men in his family as they take their flock of sheep out to pasture in New Mexico’s Sangre de Cristo Mountains. Small but determined, Miguel sets out to prove to his family that he is ready to take his place as a shepherd. Magnificently photographed with an emphasis on local customs and practices, this beautifully observed quasi-documentary is an essential record of Latino life in a remote corner of 1950s America."
"Andrei Rublev","https://www.criterionchannel.com/andrei-rublev","https://vhx.imgix.net/criterionchannelchartersu/assets/913f9783-6a97-40a6-847f-4a8bb0b97b42.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Andrei Tarkovsky","Soviet Union,","1966","Criterion Collection Edition #34

Directed by Andrei Tarkovsky • 1966 • Soviet Union
Starring Anatoly Solonitsyn, Ivan Lapikov, Nikolai Grinko

Tracing the life of a renowned icon painter, the second feature by Andrei Tarkovsky vividly conjures the murky world of medieval Russia. This dreamlike and remarkably tactile film follows Andrei Rublev as he passes through a series of poetically linked scenes—snow falls inside an unfinished church, naked pagans stream through a thicket during a torchlit ritual, a boy oversees the clearing away of muddy earth for the forging of a gigantic bell—gradually emerging as a man struggling mightily to preserve his creative and religious integrity. Appearing here in the director’s preferred 183-minute cut as well as the version that was originally suppressed by Soviet authorities, the masterwork ANDREI RUBLEV is one of Tarkovsky’s most revered films, an arresting meditation on art, faith, and endurance."
"Andrei Tarkovsky: A Cinema Prayer","https://www.criterionchannel.com/andrei-tarkovsky-a-cinema-prayer","https://vhx.imgix.net/criterionchannelchartersu/assets/0162eeea-2e7b-4f4d-bbd5-118f79af23b0.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Andrei A. Tarkovskiy","Italy,","2019","Directed by Andrei A. Tarkovsky • 2019 • Italy, Russia

The life, art, and inner world of Russian master Andrei Tarkovsky is explored through the filmmaker’s own words and images in this appropriately hushed and reverent tribute to a cinematic titan. Lovingly made by the director’s son, ANDREI TARKOVSKY: A CINEMA PRAYER draws from a wealth of archival materials—rare audio recordings, photographs, film excerpts, and behind-the-scenes footage from the making of masterpieces such as ANDREI RUBLEV and STALKER—to reveal the filmmaker’s profoundly personal thoughts on topics like existence, death, religion, and cinema."
"Androcles and the Lion","https://www.criterionchannel.com/androcles-and-the-lion","https://vhx.imgix.net/criterionchannelchartersu/assets/b16df874-648b-423e-84d7-e2a7c3c07da6.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Chester Erskine","United Kingdom,","1952","Directed by Chester Erskine • 1952 • United Kingdom

George Bernard Shaw&#39;s breezy, delightful dramatization of this classic fable, about a Christian slave who pulls a thorn from a lion&#39;s paw and is spared from death in the Colosseum as a result of his kind act, was written as a meditation on modern Christian values. And Pascal&#39;s final Shaw production plays it broadly, casting comic character actor Alan Young as the titular naïf. He&#39;s ably supported by Jean Simmons, Victor Mature, Robert Newton, and Elsa Lanchester."
